WMO,CYCLE,DIRECTION,PRELIM_DARK_CHLA,FLOAT_DARK_CHLA,FLOAT_DARK_CHLA_QC,PHYSIOLOGICAL_RATIO,SCIENTIFIC_CALIB_COEFFICIENT
4902691,1,A,55,,,0.9501824901709728,"PRELIM_DARK_CHLA=[55], SCALE_CHLA=0.0072, PHYSIO_RATIO=0.9502"
4902691,2,A,54,,,0.9501824901709728,"PRELIM_DARK_CHLA=[55, 54], SCALE_CHLA=0.0072, PHYSIO_RATIO=0.9502"
4902691,1,A,55,,,0.9501824901709728,"PRELIM_DARK_CHLA=[55, 54, 55], SCALE_CHLA=0.0072, PHYSIO_RATIO=0.9502"
