lon lat slope
-1.800000000000000000e+02 -9.000000000000000000e+01 4.660775898840547882e+00
-1.790000000000000000e+02 -9.000000000000000000e+01 4.660775898840547882e+00
-1.780000000000000000e+02 -9.000000000000000000e+01 4.660775898840547882e+00
-1.770000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.760000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.750000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.740000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.730000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.720000000000000000e+02 -9.000000000000000000e+01 3.581341016143864575e+00
-1.710000000000000000e+02 -9.000000000000000000e+01 3.448259637565450397e+00
-1.700000000000000000e+02 -9.000000000000000000e+01 3.234156207099978531e+00
-1.690000000000000000e+02 -9.000000000000000000e+01 2.783918717894434902e+00
-1.680000000000000000e+02 -9.000000000000000000e+01 2.394554084559485485e+00
-1.670000000000000000e+02 -9.000000000000000000e+01 2.766976319380463956e+00
-1.660000000000000000e+02 -9.000000000000000000e+01 2.022918135264867523e+00
-1.650000000000000000e+02 -9.000000000000000000e+01 2.140826134410376724e+00
-1.640000000000000000e+02 -9.000000000000000000e+01 2.208905262558325866e+00
-1.630000000000000000e+02 -9.000000000000000000e+01 2.441423753064432489e+00
-1.620000000000000000e+02 -9.000000000000000000e+01 2.898611219680840012e+00
-1.610000000000000000e+02 -9.000000000000000000e+01 3.128745895079446004e+00
-1.600000000000000000e+02 -9.000000000000000000e+01 2.882003676870650732e+00
-1.590000000000000000e+02 -9.000000000000000000e+01 2.715837082430771598e+00
-1.580000000000000000e+02 -9.000000000000000000e+01 2.030512785989421864e+00
-1.570000000000000000e+02 -9.000000000000000000e+01 1.833875486816122224e+00
-1.560000000000000000e+02 -9.000000000000000000e+01 1.864343243700833819e+00
-1.550000000000000000e+02 -9.000000000000000000e+01 1.766095121859646122e+00
-1.540000000000000000e+02 -9.000000000000000000e+01 1.666145839551325336e+00
-1.530000000000000000e+02 -9.000000000000000000e+01 1.596793434008211721e+00
-1.520000000000000000e+02 -9.000000000000000000e+01 1.418702304139513926e+00
-1.510000000000000000e+02 -9.000000000000000000e+01 1.411018118744792993e+00
-1.500000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.490000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.480000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.470000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.460000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.450000000000000000e+02 -9.000000000000000000e+01 1.643729596185292019e+00
-1.440000000000000000e+02 -9.000000000000000000e+01 1.890598176433010646e+00
-1.430000000000000000e+02 -9.000000000000000000e+01 1.890598176433010646e+00
-1.420000000000000000e+02 -9.000000000000000000e+01 1.890598176433010646e+00
-1.410000000000000000e+02 -9.000000000000000000e+01 1.890598176433010646e+00
-1.400000000000000000e+02 -9.000000000000000000e+01 1.890598176433010646e+00
-1.390000000000000000e+02 -9.000000000000000000e+01 1.709652876777562280e+00
-1.380000000000000000e+02 -9.000000000000000000e+01 1.603398689352586226e+00
-1.370000000000000000e+02 -9.000000000000000000e+01 1.536562179836903796e+00
-1.360000000000000000e+02 -9.000000000000000000e+01 1.438770583790732749e+00
-1.350000000000000000e+02 -9.000000000000000000e+01 1.590729491142423901e+00
-1.340000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.330000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.320000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.310000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.300000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.290000000000000000e+02 -9.000000000000000000e+01 1.290978622984490842e+00
-1.280000000000000000e+02 -9.000000000000000000e+01 1.970160678379742736e+00
-1.270000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.260000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.250000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.240000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.230000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.220000000000000000e+02 -9.000000000000000000e+01 2.131262252183920403e+00
-1.210000000000000000e+02 -9.000000000000000000e+01 2.530425731218276741e+00
-1.200000000000000000e+02 -9.000000000000000000e+01 2.330585920936114164e+00
-1.190000000000000000e+02 -9.000000000000000000e+01 2.596520082453058098e+00
-1.180000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.170000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.160000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.150000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.140000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.130000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.120000000000000000e+02 -9.000000000000000000e+01 2.698864680994196075e+00
-1.110000000000000000e+02 -9.000000000000000000e+01 3.756401417294906508e+00
-1.100000000000000000e+02 -9.000000000000000000e+01 3.334165422285251257e+00
-1.090000000000000000e+02 -9.000000000000000000e+01 3.003034314393385085e+00
-1.080000000000000000e+02 -9.000000000000000000e+01 3.022378964912851629e+00
-1.070000000000000000e+02 -9.000000000000000000e+01 2.931979472360889183e+00
-1.060000000000000000e+02 -9.000000000000000000e+01 3.170953764885367843e+00
-1.050000000000000000e+02 -9.000000000000000000e+01 2.767269609603384417e+00
-1.040000000000000000e+02 -9.000000000000000000e+01 2.722460729771192689e+00
-1.030000000000000000e+02 -9.000000000000000000e+01 2.667428340167981915e+00
