wmo,gain,date
4900494,0.9949859699003188,2025-11-28
4900497,1.0310189807940142,2025-11-28
4900523,1.0465651354175305,2025-11-28
4900524,1.0515519173740928,2025-11-28
4900627,1.0037778027565043,2025-11-28
4900637,1.0673780521633076,2025-11-28
4900869,1.038072983322879,2025-11-28
4900870,1.0494508032094372,2025-11-28
4900871,1.050576038069502,2025-11-28
4900872,1.0538344148389196,2025-11-28
4900873,1.049263104883511,2025-11-28
4900874,1.06275758956862,2025-11-28
4900879,1.0715523705585799,2025-11-28
4900880,1.0896318364399558,2025-11-28
4900881,1.05538663482439,2025-11-28
4900882,1.0621183037296071,2025-11-28
4900883,1.011228922889402,2025-11-28
4901134,1.1178172279044305,2025-11-28
4901135,1.0898500352926506,2025-11-28
4901136,1.0850332756779884,2025-11-28
4901137,1.1111315871533323,2025-11-28
4901139,1.1178591017910526,2025-11-28
4901140,1.1172683185681602,2025-11-28
4901141,1.06092265016836,2025-11-28
4901142,1.0557767906281663,2025-11-28
4901779,1.0591912319407963,2025-11-28
4901780,1.0597495506108732,2025-11-28
4901781,0.9641680989337047,2025-11-28
4901782,1.0474353612994607,2025-11-28
4901784,1.0497921052275343,2025-11-28
4901785,1.0452066221869056,2025-11-28
4901786,1.0938061520339883,2025-11-28
4901790,1.1176633270679526,2025-11-28
4901791,1.042053055888935,2025-11-28
4902383,1.0400536515175647,2025-11-28
4902384,1.0364017573297815,2025-11-28
4902386,0.9990583264895933,2025-11-28
4902390,1.052651053914132,2025-11-28
4902409,1.0627555874086867,2025-11-28
4902410,1.0570343026076015,2025-11-28
4902414,1.0472102149293754,2025-11-28
4902480,1.8279765458328774,2025-11-28
4902481,1.0533152828259065,2025-11-28
4902549,1.0529310488625836,2025-11-28
4902550,1.0852461514274057,2025-11-28
4902551,1.0652433479045371,2025-11-28
4902552,1.0625215970085022,2025-11-28
4902553,1.0714866843552975,2025-11-28
4902554,1.0496240020519183,2025-11-28
4902555,1.0688838892719172,2025-11-28
4902576,1.0700261528036328,2025-11-28
4902577,1.0725507810321777,2025-11-28
4902578,1.0696705325952358,2025-11-28
4902579,1.075355027533731,2025-11-28
4902580,1.0583400132665377,2025-11-28
4902582,1.0786547695577138,2025-11-28
4902583,1.0390897962007355,2025-11-28
4902584,1.0658973328632537,2025-11-28
4902585,1.085152932096744,2025-11-28
4902586,1.0344070204787648,2025-11-28
4902587,1.0471326000306975,2025-11-28
4902588,1.0372121999280846,2025-11-28
4902589,1.0653663287190909,2025-11-28
4902596,1.0383454450508527,2025-11-28
4902597,1.1136899526602078,2025-11-28
4902598,1.1214951873423953,2025-11-28
4902599,1.0982482782603817,2025-11-28
4902600,1.109861045634883,2025-11-28
4902601,1.0976684403139967,2025-11-28
4902612,1.0874975005211005,2025-11-28
4902613,1.0807928311645396,2025-11-28
4902614,1.084143416311278,2025-11-28
4902615,1.0628049955025956,2025-11-28
4902616,1.0688009774486762,2025-11-28
4902620,1.097889509696828,2025-11-28
4902622,1.0659809740665736,2025-11-28
4902623,1.061263449876497,2025-11-28
4902624,1.1023277358083463,2025-11-28
4902625,1.0871912593225384,2025-11-28
4902626,1.065769663503451,2025-11-28
4902627,1.0676249211637694,2025-11-28
4902628,1.0447029533076495,2025-11-28
4902629,1.0814167523261689,2025-11-28
4902631,1.0913385524941703,2025-11-28
4902633,1.0913643210915998,2025-11-28
4902634,1.0758721604551584,2025-11-28
4902635,1.0962582760165658,2025-11-28
4902636,1.0797421641471145,2025-11-28
4902637,1.1011386093061646,2025-11-28
4902638,1.11189782130932,2025-11-28
4902639,1.1186461684715225,2025-11-28
4902640,1.1150185178098169,2025-11-28
4902641,1.1086405968705664,2025-11-28
4902642,1.117275347830176,2025-11-28
4902643,1.0857479754241686,2025-11-28
4902644,1.0816853228858783,2025-11-28
4902645,1.123925520266962,2025-11-28
4902646,1.141118237869962,2025-11-28
4902647,1.085402204736438,2025-11-28
4902650,1.0546430923779382,2025-11-28
4902652,1.038618890069163,2025-11-28
4902660,1.064978574544184,2025-11-28
4902662,1.0592171644019948,2025-11-28
4902663,1.0669357638069277,2025-11-28
4902674,1.0963866103412045,2025-11-28
4902675,1.1226823449961614,2025-11-28
4902676,1.0814712450074513,2025-11-28
4902677,1.1015204369774148,2025-11-28
4902678,1.108861284575994,2025-11-28
4902679,1.1076404527584374,2025-11-28
4902680,1.0992532165900917,2025-11-28
4902681,1.1152893831900708,2025-11-28
4902683,1.1224580540750129,2025-11-28
4902684,1.0667904936090093,2025-11-28
4902685,1.0671157882994353,2025-11-28
4902686,1.0705566419476613,2025-11-28
4902687,1.0844501237074304,2025-11-28
4902688,1.0934066771970787,2025-11-28
4902690,1.1026199767407312,2025-11-28
4902691,1.1064044033062332,2025-11-28
