WMO,CYCLE,DIRECTION,iDARK_CHLA,PRELIM_DARK_CHLA,FLOAT_DARK_CHLA,FLOAT_DARK_CHLA_QC,PHYSIOLOGICAL_RATIO,SCIENTIFIC_CALIB_COMMENT,SCIENTIFIC_CALIB_EQUATION,SCIENTIFIC_CALIB_COEFFICIENT
6903026,1,A,3,3,3,4,5.81,'','',''
6903890,2,A,3,3,,,5.90,'','',''
